機械番号,製番,手配番号,品目番号,品目名,手配数,段取時間,加工時間,着手日時,完了日時
A214,130592000,2507904157,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,8,0.083,8.083,2025/09/12 00:00:00,2025/09/12 15:57:57
A214,130592100,2507904410,201-06312-1201,ガイドガラスホールドカバー　　　　　　★,4,0.083,4.083,2025/09/12 00:00:00,2025/09/12 15:58:00
A214,330159000,2509000612,251-05918-1401-ST,カンヌキ　Ｋ形（Ｍ６タップ無）追加工,40,0.09876,1.29876,2025/09/12 08:45:53,2025/09/12 11:17:59
A214,130673100,2508950283,311-00241-1701,大型肘付戸当り　★311-00241-1700-HIより,4,0.02,0.06,2025/09/12 11:13:24,2025/09/12 14:10:44
A214,130695100,2508966281,311-00241-1701,大型肘付戸当り　★311-00241-1700-HIより,4,0.02,0.06,2025/09/12 11:13:42,2025/09/12 14:10:51
A214,130708100,2508977369,311-00241-1701,大型肘付戸当り　★311-00241-1700-HIより,4,0.02,0.06,2025/09/12 11:14:04,2025/09/12 14:10:58
A214,130735600,2509991463,311-00241-1701,大型肘付戸当り　★311-00241-1700-HIより,4,0.02,0.06,2025/09/12 11:15:43,2025/09/12 14:11:06
A214,130660200,2508942005,121-10071-6601,アーム,4,0.02,0.1,2025/09/12 15:08:34,2025/09/12 15:25:00
A214,130651300,2508935069,121-10071-6601,アーム,2,0.02,0.06,2025/09/12 15:09:02,2025/09/12 15:25:08
A214,130651400,2508935491,121-10071-6601,アーム,2,0.02,0.06,2025/09/12 15:09:04,2025/09/12 15:25:12
A214,130644600,2508925858,121-10071-6601,アーム,4,0.02,0.1,2025/09/12 15:09:17,2025/09/12 15:25:19
A214,130457100,2507824253,322-02358-4000,■原■ｲﾝﾀｰﾛｯｸ当て 素材:SUS304 COLD,1,0.1,0.2,2025/09/12 15:26:27,2025/09/12 15:32:52
A214,130629000,2508922764,112-22708-0600,カンヌキ案内,4,0.025,0.105,2025/09/12 15:34:48,2025/09/12 15:47:19
A214,130753200,2509004634,101-10611-5500,丁番肘座１,2,0.15,0.45,2025/09/12 15:45:01,2025/09/12 16:05:03
A214,130700100,2508967897,121-10301-5101,アーム,1,0.06139,0.14861,2025/09/12 15:56:31,2025/09/12 15:56:32
